id,question,answer,links
faq_15,How much does it cost to file a Business License application?,"A non-refundable Business License Application processing fee is required for each application received in addition to applicable endorsement or trade name fees.
Open/reopen a business - $90
If you are opening the first location of a new business/UBI or re-opening a business/UBI that has no active locations.
Any other purpose - $19
If you are filing for any purpose other than those listed above.
(Examples: Hiring employees, registering a trade name, adding additional endorsements to an existing location, etc.)
For more processing fee details, visit: https://dor.wa.gov/open-business/apply-business-license/variable-business-license-fees or contact the Business Licensing Service at 360-705-6741 or bls@dor.wa.gov.",https://dor.wa.gov/open-business/apply-business-license/variable-business-license-fees (https://dor.wa.gov/open-business/apply-business-license/variable-business-license-fees) | bls@dor.wa.gov (mailto:bls@dor.wa.gov)
faq_16,"I didn't have any business activity this year, do I still need to file taxes?","Yes, you must still file a tax return by following one of the options listed at: https://dor.wa.gov/file-pay-taxes/report-no-business-activity.
For additional tax-related questions, contact the Department of Revenue at 360-705-6705",https://dor.wa.gov/file-pay-taxes/report-no-business-activity (https://dor.wa.gov/file-pay-taxes/report-no-business-activity)
faq_17,I have a question about the new long-term care insurance program.,"For information pertaining to the WA Cares Fund program/long-term care coverage please visit the Learn More FAQ page at https://wacaresfund.wa.gov/learn-more/, which also contains specific FAQ’s for employers. 
Please direct any further questions to the WA Cares Fund program using the form at https://wacaresfund.wa.gov/contact-us/.",https://wacaresfund.wa.gov/learn-more/ (https://wacaresfund.wa.gov/learn-more/) | https://wacaresfund.wa.gov/contact-us/ (https://wacaresfund.wa.gov/contact-us/)
faq_18,Is Workers' Compensation required for business owners?,"Generally business owners, and corporate officers, are exempt from mandatory coverage of Workers’ Compensation; however, there are options for those who would like to elect for coverage from the Department of Labor & Industries.

For Corporations, visit: https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/corporate-officers#non-public-corporations


For Limited Liability Companies, visit: https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/llc-members


For Business Owner coverage, visit: https://lni.wa.gov/insurance/insurance-requirements/how-to-get-a-workers-compensation-account/#owner-officer-and-exempt-employments-coverage

If you have additional questions on Workers’ Compensation, contact the Department of Labor & Industries, Employer Services at 360-902-4817.",https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/corporate-officers#non-public-corporations (https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/corporate-officers#non-public-corporations) | https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/llc-members (https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/llc-members) | https://lni.wa.gov/insurance/insurance-requirements/how-to-get-a-workers-compensation-account/#owner-officer-and-exempt-employments-coverage (https://lni.wa.gov/insurance/insurance-requirements/how-to-get-a-workers-compensation-account/#owner-officer-and-exempt-employments-coverage)
faq_19,What are my employer requirements under the Paid Family and Medical Leave benefit program?,"As a Washington employer, you are required to report your employees’ wages and hours and submit premiums every quarter—unless you had no payroll expenses during that quarter.  While businesses with fewer than 50 employees do not have to contribute to their employees’ premiums, you play a role in the program.  Find out more at paidleave.wa.gov or contact the Washington Employment Security Department at (833) 717-2273 or email paidleave@esd.wa.gov.",paidleave.wa.gov (http://www.paidleave.wa.gov/) | paidleave@esd.wa.gov (mailto:paidleave@esd.wa.gov)
faq_20,What are the payroll taxes in Washington state?,"There are three employee-related taxes in Washington State:

Workers’ Compensation:  https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/
Unemployment Insurance: https://esd.wa.gov/employer-taxes
Paid Family Medical Leave:  https://esd.wa.gov/paid-family-medical-leave/smallbusiness

For a table summary of employer payroll & tax responsibilities, visit: https://www.business.wa.gov/site/alias__business/878/Small-Business-Guide—Payroll.aspx#Responsibilities",https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/ (https://lni.wa.gov/insurance/insurance-requirements/do-i-need-a-workers-comp-account/) | https://esd.wa.gov/employer-taxes (https://esd.wa.gov/employer-taxes) | https://esd.wa.gov/paid-family-medical-leave/smallbusiness (https://esd.wa.gov/paid-family-medical-leave/smallbusiness) | https://www.business.wa.gov/site/alias__business/878/Small-Business-Guide—Payroll.aspx#Responsibilities (https://www.business.wa.gov/site/alias__business/878/Small-Business-Guide--Payroll.aspx#Responsibilities)
faq_21,"What is a ""Reseller"" permit and how do I apply for one?","A Reseller Permit, also known as a Tax Exemption Certificate, allows your business to purchase items for resale without paying sales tax.  You must currently have a Washington state business license in order to apply for a Resellers Permit.
For more information, visit: https://dor.wa.gov/taxes-rates/retail-sales-tax/reseller-permits/reseller-permit-your-questions-answered and contact the Department of Revenue at 360-705-6705 with additional questions.",https://dor.wa.gov/taxes-rates/retail-sales-tax/reseller-permits/reseller-permit-your-questions-answered (https://dor.wa.gov/taxes-rates/retail-sales-tax/reseller-permits/reseller-permit-your-questions-answered)
faq_22,What is a UBI number?,"A UBI number (or Unified Business Identifier) is a nine-digit number that registers you with several state agencies and allows you to do business in Washington State. A UBI number is sometimes called a tax registration number, a business registration number, a business license number or a master business license number.
For more information, visit: https://dor.wa.gov/open-business/business-licensing-and-renewals-faqs#UBI and contact the Business Licensing Service at 360-705-6741 or bls@dor.wa.gov with additional questions",https://dor.wa.gov/open-business/business-licensing-and-renewals-faqs#UBI (https://dor.wa.gov/open-business/business-licensing-and-renewals-faqs#UBI) | bls@dor.wa.gov (mailto:bls@dor.wa.gov)
faq_23,What is Washington's minimum wage?,"The 2024 minimum wage in the state of Washington is $16.28 per hour. Washington employers must pay most employees at least the minimum wage for every hour worked. 
Some local jurisdictions have higher minimum wage rates and different labor rules than Washington state. The more generous minimum wage may apply in these localities:

Seattle: $19.97/hr.
SeaTac: $19.71/hr.
Tukwila:  $20.29/hr.

Visit https://lni.wa.gov/workers-rights/wages/minimum-wage/ for detailed information about pay requirements, download minimum wage announcement posters, learn about overtime, exemptions and prevailing wage rates.  Contact the Employment Standards Office at 360-902-5316 or esgeneral@lni.wa.gov for assistance.",Seattle (https://www.seattle.gov/laborstandards/ordinances/minimum-wage) | SeaTac (https://www.seatacwa.gov/our-city/employment-standards-ordinance) | Tukwila: (https://www.tukwilawa.gov/wp-content/uploads/2024-Tukwila-Minimum-Wage-Notice.pdf) | https://lni.wa.gov/workers-rights/wages/minimum-wage/ (https://lni.wa.gov/workers-rights/wages/minimum-wage/) | esgeneral@lni.wa.gov (https://www.business.wa.gov/esgeneral@lni.wa.gov%20)
faq_24,Where can I find rules around employer responsibilities and workers rights?,"You can find information about employer responsibilities and employee rights, by visiting: https://lni.wa.gov/workers-rights/ and contacting the Department of Labor & Industries, Employment Standards Office at 360-902-5316 or esgeneral@lni.wa.gov with additional questions.",https://lni.wa.gov/workers-rights/ (https://lni.wa.gov/workers-rights/) | esgeneral@lni.wa.gov (mailto:esgeneral@lni.wa.gov)
faq_25,Where can I search for information on a business or corporation?,"To look up a business license, tax account, or reseller permit with the Department of Revenue visit: https://secure.dor.wa.gov/gteunauth/_/#1
To verify a corporate entity registration (i.e. Corporation, LLC, etc.) with the Secretary of State visit: https://www.sos.wa.gov/corps/  
To verify the status of a contractor or tradesperson (i.e. Electrician, Plumber, etc.) with the Department of Labor & Industries, visit: https://secure.lni.wa.gov/verify/",https://secure.dor.wa.gov/gteunauth/_/#1 (https://secure.dor.wa.gov/gteunauth/_/#1) | https://www.sos.wa.gov/corps/ (https://www.sos.wa.gov/corps/) | https://secure.lni.wa.gov/verify/ (https://secure.lni.wa.gov/verify/)
faq_26,Who needs a business license?,"You need a business license if your business meets any of the following conditions:

Your business requires city and state endorsements.
You are doing business using a name other than your full name legal name.
You plan to hire employees within the next 90 days.
You sell a product or provide a service that requires the collection of sales tax.
Your gross income is $12,000 per year or more.
Your business is required to pay taxes or fees to the Department of Revenue.
You are a buyer or processor of specialty wood products.

For more details or to apply for a business license, visit: https://dor.wa.gov/open-business/apply-business-license",city (https://dor.wa.gov/manage-business/city-license-endorsements) | state (https://dor.wa.gov/manage-business/state-endorsements) | collection of sales tax (https://dor.wa.gov/taxes-rates/retail-sales-tax) | taxes or fees (https://dor.wa.gov/taxes-rates/other-taxes) | https://dor.wa.gov/open-business/apply-business-license (https://dor.wa.gov/open-business/apply-business-license)
